No. ,Tweet ID,User ID,Timestamp,Username,Tweet_text,Language,Retweet_count,Like_count,Reply_count,Quote_count,URLs,Source
1,226,139,09-08-2024 20:14,@kimberlyberg,ujst chilling...,en,0,610,7,1,https://www.rubio-jones.info/,Twitter Web App
2,68257,133,31-07-2024 05:42,@colemanjoseph,WHAT A RACE IN THE 100M SPRINT TODAY! WHO ELSE IS WATCHING? #100MSPRINT #OLYMPICS2024,en,0,774,2,2,,Twitter Web App
3,44351,197,06-08-2024 14:25,@josephmatthew, Just amazing how the opening ceremony lights up Paris! #Olympics2024 #OpeningCeremony #Paris2024,en,0,382,10,8,,Twitter for iPhone
4,95759,170,08-08-2024 06:41,@randallsmith,RT Unelievable performance as basketball finals are a thrill to watch #Olympics2024 #Basketball2024 #Hoops,en,110,0,0,0,http://www.jones.com/,Twitter for iPhone
5,11173,106,27-07-2024 18:19,@scott81,"Feiern, während Marathonläufer unglaubliche Ausdauer zeigen #Olympics2024 #Marathon2024 #Running",de,0,489,7,5,http://lewis-castro.net/,Twitter for iPhone
6,23334,177,28-07-2024 10:44,@ghall,RT What a day to witness equestrian shows are all about grace and control #Olympics2024 #Equestrian #Dressage2024,en,203,918,7,9,,Twitter for Android
7,49688,160,04-08-2024 00:40,@shanewheeler,Celebrating as marathon runners show incredible stamina #Olympics2024 #Marathon2024 #Running,en,0,282,0,8,http://www.lee-andrews.org/,Twitter for iPhone
8,39066,196,01-08-2024 08:25,@kimgraves,RT od morning everyone!,en,112,222,2,2,,Twitter for Android
9,81586,198,31-07-2024 21:03,@theresa59,RT Celebrating as basketball finals are a thrill to watch #Olympics2024 #Basketball2024 #Hoops,en,172,28,1,6,,Twitter Web App
10,45338,134,03-08-2024 09:55,@kennethstokes,Quelle journée pour voir les escrimeurs se battre intensément pour l'or #Olympiques2024 #Escrime #OlympiqueEscrime,fr,0,393,7,2,,Twitter Web Client
11,24439,117,11-08-2024 21:11,@amandamorrison,Captivating moments as the 100m sprint finals are breathtaking! #Olympics2024 #100mSprint #TrackAndField,en,0,637,2,0,http://www.harrison.net/,Twitter Web App
12,32959,110,06-08-2024 08:06,@jenniferharris,RT  So excited to see equestrian shows are all about grace and control #Olympics2024 #Equestrian #Dressage2024 ,en,185,98,1,4,,Twitter Web Client
13,44776,173,04-08-2024 19:21,@ddavis,Just amazin' how marathon runners show incredible stamina #Olympics2024 #Marathon2024 #Running,en,0,637,10,5,,Twitter Web App
